category,parent
Find,Find
Pottery,Find
Lamp,Find
Loomweight,Find
Terracotta,Find
Brick,Find
Bone,Find
Glass,Find
Metal,Find
Stone,Find
Wood,Find
Coin,Find
PlasterFragment,Find
Mollusk,Find
Sculpture,Find
Feature,Feature
Layer,Feature
Grave,Feature
Burial,Feature
Architecture,Feature
Floor,Feature
Trench,Operation
Building,Operation
Survey,Operation
Operation,Operation
Quantification,Quantification
Pottery_Quantification_A,Quantification
Pottery_Quantification_B,Quantification
QuantMollusks,Quantification
Brick_Quantification,Quantification
PlasterQuantification,Quantification
