group,period
Neolitisch,Neolitisch
Chalkolitisch,Chalkolitisch [Milet I]
Bronzezeitlich,Frühbronzezeitlich [Milet II]
Bronzezeitlich,Mittelbronzezeitlich [Milet III]
Bronzezeitlich,Spätbronzezeitlich [Milet IV]
Bronzezeitlich,Spätbronzezeitlich [Milet V]
Bronzezeitlich,Spätbronzezeitlich [Milet VI]
Bronzezeitlich,Spätbronzezeitlich [Milet VII]
Geometrisch,Protogeometrisch
Geometrisch,Frühgeometrisch
Geometrisch,Mittelgeometrisch
Geometrisch,Spätgeometrisch
Archaisch,Früharchaisch
Archaisch,Hocharchaisch
Archaisch,Spätarchaisch
Archaisch,Perserzerstörung
Klassisch,Frühklassisch
Klassisch,Spätklassik
Hellenistisch,Früher Hellenismus
Hellenistisch,Später Hellenismus
Kaiserzeitlich,Frühkaiserzeitlich
Kaiserzeitlich,Mittelkaiserzeitlich
Kaiserzeitlich,Spätkaiserzeitlich
Spätantik / Byzantinisch,Spätantik
Spätantik / Byzantinisch,Frühbyzantinisch / Spätantik
Spätantik / Byzantinisch,Mittelbyzantinisch
Spätantik / Byzantinisch,Spätbyzantinisch
Menteşe / emiratszeitlich,Menteşe / emiratszeitlich
Osmanisch,Osmanisch
Rezent,Rezent
